location,industry,stage,years,employees,revenue,growth_rate,expenses,profitability,funding_history,funding_need,funding_type,purpose,audited,financial_review,financial_model,readiness,mna_interest,growth_strategy,cross_border,capital_challenge,ops_challenge,service_interest,budget,target
Both,FinTech,Growth,1-3,51-200,0,10,50000,Loss,Both,1000000,Convertible,Acquisition,1,Annual,None,Low,No,Acquisition,1,Pitch,Hiring,Fundraising,100000,Maybe
Other,FinTech,Expansion,<1,201-500,5000000,10,200000,Profitable,Debt,200000,Equity,Working Capital,1,Annual,None,Low,Active,Partnership,0,Structuring,Cashflow,Matching,100000,Maybe
India,Manufacturing,Expansion,1-3,1-10,0,10,10000,Loss,Debt,1000000,Mezzanine,Working Capital,1,Monthly,Basic,High,No,Partnership,0,Regulation,Hiring,M&A,100000,Maybe
Both,Real Estate,Early,<1,11-50,200000,10,200000,Break-even,Equity,15000000,Convertible,Working Capital,0,Quarterly,Detailed,Low,Active,Acquisition,1,Valuation,Costs,Matching,5000,Maybe
Both,E-commerce,Growth,5-10,51-200,0,50,700000,Loss,None,15000000,Convertible,Market Entry,0,Quarterly,Detailed,High,Active,Organic,0,Regulation,Competition,M&A,300000,No
Other,Healthcare,Expansion,5-10,11-50,5000000,0,200000,Break-even,None,15000000,Mezzanine,Acquisition,1,Quarterly,None,Low,Active,Acquisition,0,Regulation,Scaling,Restructuring,20000,No
India,SaaS,Idea,10+,11-50,15000000,25,700000,Loss,Both,5000000,Debt,Tech,1,Monthly,None,Medium,Open,Partnership,1,Pitch,Scaling,Valuation,100000,Maybe
India,E-commerce,Idea,1-3,51-200,0,80,700000,Break-even,None,50000,Mezzanine,Expansion,1,Quarterly,Basic,Low,Open,Partnership,1,Structuring,Competition,Restructuring,5000,No
Both,Real Estate,Mature,10+,11-50,0,25,50000,Break-even,Debt,15000000,Debt,Market Entry,0,Monthly,None,High,Active,Acquisition,0,Access,Cashflow,M&A,5000,No
UAE,SaaS,Growth,1-3,51-200,1000000,25,700000,High Burn,Debt,200000,Equity,Tech,1,Rare,Basic,Low,Active,Organic,1,Structuring,Cashflow,M&A,20000,Maybe
Both,Manufacturing,Growth,10+,1-10,15000000,0,50000,Break-even,Equity,15000000,Equity,Acquisition,0,Rare,None,High,Open,Acquisition,1,Regulation,Hiring,M&A,100000,No
Both,Manufacturing,Mature,3-5,51-200,200000,0,50000,High Burn,Equity,5000000,Mezzanine,Working Capital,1,Monthly,None,High,No,Acquisition,1,Structuring,Competition,Fundraising,5000,No
Both,FinTech,Expansion,3-5,51-200,5000000,0,50000,Break-even,None,200000,Mezzanine,Acquisition,0,Annual,None,Medium,Active,Partnership,0,Pitch,Cashflow,Valuation,20000,No
Both,Real Estate,Growth,3-5,201-500,200000,10,10000,Profitable,Both,5000000,Equity,Expansion,1,Rare,Detailed,Medium,No,Organic,0,Access,Competition,Restructuring,300000,Maybe
Other,Healthcare,Idea,3-5,51-200,15000000,50,10000,Break-even,None,200000,Debt,Market Entry,0,Quarterly,Detailed,High,Open,Fundraising,0,Pitch,Costs,Restructuring,300000,No
India,SaaS,Idea,<1,51-200,0,10,700000,Profitable,None,1000000,Equity,Market Entry,1,Monthly,Detailed,Low,Active,Organic,1,Access,Scaling,Matching,300000,Yes
Other,E-commerce,Early,3-5,1-10,0,50,50000,Profitable,None,50000,Mezzanine,Expansion,0,Quarterly,None,High,No,Acquisition,0,Regulation,Scaling,M&A,100000,Yes
Other,Real Estate,Growth,5-10,201-500,15000000,50,10000,Break-even,None,50000,Equity,Tech,0,Quarterly,Basic,High,No,Acquisition,1,Access,Scaling,M&A,20000,Maybe
Other,Real Estate,Expansion,5-10,500+,0,25,50000,Profitable,Debt,5000000,Mezzanine,Tech,0,Annual,Basic,Low,No,Acquisition,0,Access,Competition,M&A,20000,Yes
Both,Manufacturing,Mature,<1,1-10,0,25,200000,High Burn,Both,50000,Mezzanine,Market Entry,0,Quarterly,Basic,Low,Open,Organic,0,Access,Competition,Restructuring,5000,Maybe
UAE,FinTech,Mature,3-5,1-10,0,50,200000,Loss,Debt,5000000,Equity,Market Entry,0,Annual,Basic,Low,Open,Partnership,1,Structuring,Hiring,Matching,5000,Yes
India,FinTech,Expansion,3-5,500+,5000000,50,200000,Break-even,Both,5000000,Debt,Working Capital,0,Rare,Detailed,Low,No,Acquisition,0,Structuring,Scaling,Fundraising,5000,Yes
UAE,SaaS,Early,3-5,51-200,5000000,10,700000,Profitable,Equity,5000000,Convertible,Tech,0,Monthly,Detailed,High,No,Acquisition,1,Regulation,Hiring,Valuation,20000,Yes
Other,Manufacturing,Mature,10+,11-50,1000000,10,50000,Break-even,None,50000,Equity,Expansion,1,Quarterly,None,High,Open,Organic,0,Access,Scaling,Fundraising,5000,Maybe
Other,Real Estate,Growth,1-3,201-500,200000,25,200000,High Burn,Debt,5000000,Convertible,Tech,1,Monthly,None,Medium,No,Fundraising,0,Valuation,Hiring,Restructuring,20000,Maybe
UAE,Healthcare,Early,10+,11-50,15000000,0,10000,Break-even,Both,50000,Equity,Working Capital,1,Quarterly,Basic,High,No,Fundraising,1,Regulation,Hiring,M&A,20000,No
